,v,w,t
0,0,277,1385982020
1,0,277,1385982040
2,0,277,1385982060
3,0,21,1385982060
4,0,277,1385982080
5,0,21,1385982080
6,0,277,1385982100
7,0,241,1385982120
8,0,277,1385982120
9,0,241,1385982140
10,0,277,1385982140
11,0,241,1385982160
12,0,277,1385982160
13,0,241,1385982180
14,0,277,1385982180
15,0,241,1385982200
16,0,277,1385982200
17,0,241,1385982220
18,0,277,1385982220
19,0,241,1385982240
20,0,277,1385982240
21,0,241,1385982260
22,0,277,1385982260
23,0,277,1385982280
24,0,277,1385982300
25,0,242,1385982320
26,0,264,1385982320
27,0,219,1385982320
28,0,76,1385982340
29,0,264,1385982340
30,0,98,1385982380
31,0,43,1385982380
32,0,21,1385982400
33,0,180,1385982420
34,0,77,1385982440
35,0,180,1385982440
36,0,77,1385982460
37,0,214,1385983100
38,0,292,1385983120
39,0,180,1385983140
40,0,180,1385983160
41,0,180,1385983180
42,0,43,1385983200
43,0,180,1385983200
44,0,72,1385983240
45,0,180,1385983240
46,0,72,1385983280
47,0,72,1385983300
48,0,180,1385983300
49,0,72,1385983320
50,0,180,1385983320
51,0,180,1385983380
52,0,180,1385983420
53,0,180,1385983460
54,0,180,1385983500
55,0,180,1385983520
56,0,180,1385983560
57,0,72,1385983600
58,0,72,1385983620
59,0,180,1385983620
60,0,180,1385983640
61,0,72,1385983660
62,0,180,1385983660
63,0,72,1385983680
64,0,72,1385983700
65,0,43,1385983720
66,0,180,1385983720
67,0,72,1385983740
68,0,180,1385983740
69,0,72,1385983760
70,0,180,1385983760
71,0,72,1385983780
72,0,72,1385983800
73,0,72,1385983820
74,0,72,1385983840
75,0,132,1385983860
76,0,72,1385983860
77,0,72,1385983880
78,0,180,1385983880
79,0,180,1385983940
80,0,180,1385983960
81,0,72,1385984000
82,0,180,1385984000
83,0,72,1385984020
84,0,43,1385984020
85,0,180,1385984020
86,0,180,1385984040
87,0,180,1385984060
88,0,72,1385984080
89,0,180,1385984080
90,0,180,1385984100
91,0,180,1385984160
92,0,180,1385984180
93,0,180,1385984200
94,0,180,1385984220
95,0,180,1385984240
96,0,43,1385984280
97,0,72,1385984400
98,0,98,1385984420
99,0,72,1385984420
100,0,72,1385984440
101,0,98,1385984440
102,0,180,1385984440
103,0,98,1385984460
104,0,180,1385984460
105,0,43,1385984480
106,0,43,1385984500
107,0,43,1385984520
108,0,43,1385984540
109,0,180,1385984540
110,0,43,1385984560
111,0,180,1385984560
112,0,72,1385984600
113,0,43,1385984600
114,0,180,1385984600
115,0,60,1385984620
116,0,43,1385984620
117,0,60,1385984640
118,0,277,1385984640
119,0,268,1385984640
120,0,261,1385984640
121,0,43,1385984660
122,0,43,1385984700
123,0,43,1385984720
124,0,180,1385984720
125,0,43,1385984740
126,0,43,1385984760
127,0,72,1385984780
128,0,72,1385984800
129,0,72,1385984820
130,0,72,1385984840
131,0,72,1385984860
132,0,72,1385984880
133,0,43,1385984880
134,0,72,1385984900
135,0,72,1385984920
136,0,72,1385984940
137,0,72,1385984960
138,0,180,1385985180
139,0,39,1385985260
140,0,39,1385985280
141,0,180,1385985280
142,0,180,1385985300
143,0,72,1385985580
144,0,72,1385985600
145,0,72,1385985620
146,0,72,1385985640
147,0,180,1385985640
366,2,265,1385982060
367,2,86,1385982260
368,2,265,1385982300
369,2,265,1385982440
370,2,265,1385982520
371,2,86,1385982600
372,2,86,1385982620
373,2,86,1385982640
374,2,86,1385982660
375,2,58,1385982680
376,2,86,1385982680
377,2,86,1385982700
378,2,236,1385982740
379,2,143,1385982800
380,2,143,1385982820
381,2,143,1385982860
382,2,130,1385982920
383,2,143,1385982920
384,2,65,1385982940
385,2,130,1385982960
386,2,130,1385983000
387,2,265,1385983000
388,2,130,1385983060
389,2,130,1385983080
390,2,130,1385983100
391,2,143,1385983120
392,2,130,1385983140
393,2,236,1385983160
394,2,265,1385983160
395,2,53,1385983180
396,2,265,1385983280
397,2,265,1385983620
398,2,130,1385984120
399,2,265,1385984920
400,2,265,1385985120
401,2,265,1385985180
402,2,265,1385985440
403,2,265,1385985600
404,2,265,1385985620
4326,3,245,1385982780
4327,3,178,1385982840
4328,3,245,1385985640
6120,4,162,1385982020
6121,4,16,1385982020
6122,4,162,1385982040
6123,4,16,1385982040
6124,4,162,1385982060
6125,4,16,1385982060
6126,4,162,1385982080
6127,4,162,1385982100
6128,4,16,1385982100
6129,4,162,1385982120
6130,4,16,1385982120
6131,4,162,1385982140
6132,4,16,1385982140
6133,4,16,1385982320
6134,4,16,1385982340
6135,4,16,1385982380
6136,4,16,1385982400
6137,4,94,1385982600
6138,4,211,1385982600
6139,4,94,1385982620
6140,4,203,1385982620
6141,4,319,1385982740
6142,4,326,1385982760
6143,4,319,1385982780
6144,4,22,1385982920
6145,4,22,1385982940
6146,4,42,1385983000
6147,4,42,1385983040
6148,4,42,1385983060
6149,4,176,1385983480
6150,4,176,1385983500
6151,4,176,1385983520
6152,4,176,1385983540
6153,4,176,1385983560
6154,4,176,1385983580
6155,4,176,1385983600
6156,4,176,1385983620
6157,4,176,1385983680
6158,4,176,1385983840
6159,4,176,1385983860
6160,4,176,1385983920
6161,4,120,1385983960
8095,5,70,1385982020
8096,5,70,1385982040
8097,5,70,1385982060
8098,5,70,1385982080
8099,5,70,1385982100
8100,5,70,1385982120
8101,5,70,1385982140
8102,5,70,1385982160
8103,5,70,1385982180
8104,5,274,1385982200
8105,5,70,1385982200
8106,5,70,1385982220
8107,5,70,1385982240
8108,5,70,1385982260
8109,5,70,1385982280
8110,5,70,1385982300
8111,5,70,1385982320
8112,5,70,1385982340
8113,5,70,1385982360
8114,5,70,1385982380
8115,5,70,1385982400
8116,5,70,1385982420
8117,5,70,1385982440
8118,5,70,1385982460
8119,5,70,1385982480
8120,5,70,1385982500
8121,5,70,1385982520
8122,5,70,1385982540
8123,5,70,1385982560
8124,5,70,1385982580
8125,5,70,1385982600
8126,5,70,1385982620
8127,5,70,1385982640
8128,5,70,1385982660
8129,5,70,1385982680
8130,5,70,1385982700
8131,5,70,1385982720
8132,5,70,1385982740
8133,5,70,1385982760
8134,5,70,1385982780
8135,5,70,1385982800
8136,5,274,1385982820
8137,5,70,1385982820
8138,5,70,1385982840
8139,5,100,1385982860
8140,5,70,1385982860
8141,5,70,1385982900
8142,5,274,1385982920
8143,5,70,1385982920
8144,5,233,1385983160
8145,5,244,1385983180
8664,6,80,1385982480
8665,6,246,1385984720
8666,6,8,1385984900
8667,6,239,1385984960
8668,6,172,1385984980
8669,6,8,1385985020
8670,6,8,1385985060
8671,6,144,1385985220
8672,6,239,1385985540
9833,7,136,1385982580
9834,7,281,1385982580
9835,7,187,1385982600
9836,7,186,1385982620
9837,7,20,1385982620
9838,7,187,1385984500
9839,7,152,1385984500
9840,7,187,1385984520
9841,7,187,1385984560
9842,7,187,1385984580
9843,7,187,1385984600
9844,7,187,1385984620
9845,7,152,1385984620
9846,7,187,1385984640
9847,7,152,1385984640
9848,7,187,1385984660
9849,7,152,1385984660
9850,7,187,1385984680
9851,7,136,1385984700
9852,7,187,1385984720
9853,7,152,1385984720
9854,7,187,1385984740
9855,7,187,1385984760
9856,7,187,1385984780
9857,7,152,1385984780
9858,7,187,1385984800
9859,7,152,1385984800
9860,7,187,1385984820
9861,7,186,1385984820
9862,7,152,1385984820
9863,7,187,1385984840
9864,7,186,1385984840
9865,7,187,1385984860
9866,7,306,1385984860
9867,7,186,1385984860
9868,7,152,1385984860
9869,7,187,1385984880
9870,7,152,1385984880
9871,7,220,1385985060
9872,7,213,1385985060
9873,7,186,1385985580
10768,8,36,1385984280
10769,8,239,1385984680
10770,8,239,1385984900
10771,8,246,1385984900
10772,8,239,1385984920
10773,8,239,1385984980
10774,8,239,1385985020
10775,8,246,1385985020
10776,8,239,1385985040
10777,8,239,1385985060
10778,8,246,1385985060
10779,8,246,1385985080
10780,8,246,1385985160
10781,8,239,1385985200
11790,9,61,1385982680
11791,9,61,1385982700
11792,9,143,1385982720
11793,9,61,1385982760
11794,9,118,1385982780
11795,9,319,1385982840
11796,9,63,1385982880
11797,9,230,1385982900
11798,9,63,1385982900
11799,9,230,1385982920
11800,9,185,1385982920
11801,9,63,1385982940
11802,9,230,1385982940
11803,9,230,1385982960
11804,9,230,1385982980
11805,9,230,1385983000
11806,9,230,1385983020
11807,9,265,1385983120
11808,9,193,1385983140
11809,9,86,1385983140
11810,9,10,1385983140
11811,9,124,1385983140
11812,9,107,1385983160
11813,9,230,1385983160
11814,9,61,1385983160
11815,9,170,1385983200
11816,9,170,1385983220
11817,9,170,1385983280
11818,9,170,1385983960
11819,9,143,1385984200
11820,9,143,1385984220
11821,9,143,1385984260
11822,9,143,1385984280
11823,9,143,1385984560
11824,9,143,1385984580
11825,9,143,1385984640
11826,9,143,1385984740
11827,9,143,1385984820
12680,10,124,1385982660
12681,10,265,1385982720
12682,10,86,1385982740
12683,10,265,1385982740
12684,10,86,1385982760
12685,10,86,1385982780
12686,10,86,1385982800
12687,10,53,1385982800
12688,10,53,1385982820
12689,10,86,1385982820
12690,10,53,1385982840
12691,10,86,1385982840
12692,10,53,1385982860
12693,10,86,1385982860
12694,10,53,1385982880
12695,10,86,1385982880
12696,10,53,1385982900
12697,10,86,1385982900
12698,10,53,1385982920
12699,10,86,1385982920
12700,10,86,1385982940
12701,10,53,1385982960
12702,10,86,1385982960
12703,10,53,1385982980
12704,10,86,1385982980
12705,10,53,1385983000
12706,10,86,1385983000
12707,10,86,1385983020
12708,10,86,1385983040
12709,10,86,1385983060
12710,10,86,1385983080
12711,10,86,1385983100
12712,10,58,1385983140
12713,10,193,1385983140
12714,10,86,1385983140
12715,10,124,1385983180
12716,10,124,1385983200
12717,10,124,1385983220
12718,10,124,1385983240
12719,10,124,1385983260
12720,10,124,1385983280
12721,10,124,1385983300
12722,10,124,1385983340
12723,10,124,1385983360
12724,10,124,1385983380
12725,10,124,1385983420
12726,10,124,1385983440
12727,10,124,1385983460
12728,10,124,1385983480
12729,10,124,1385983500
12730,10,124,1385983540
12731,10,124,1385983560
12732,10,124,1385983580
12733,10,124,1385983600
12734,10,124,1385983620
12735,10,124,1385983640
12736,10,124,1385983700
12737,10,124,1385983720
12738,10,124,1385983740
12739,10,124,1385983760
12740,10,124,1385983780
12741,10,124,1385983800
12742,10,124,1385983840
12743,10,124,1385983860
12744,10,124,1385984140
12745,10,124,1385984200
12746,10,124,1385984220
12747,10,124,1385984400
12748,10,124,1385984440
12749,10,124,1385984460
12750,10,124,1385984480
12751,10,124,1385984500
12752,10,124,1385984520
12753,10,124,1385984600
12754,10,124,1385984620
12755,10,124,1385984640
12756,10,124,1385984660
12757,10,124,1385984700
12758,10,124,1385984760
12759,10,124,1385984780
12760,10,124,1385984820
12761,10,124,1385984840
12762,10,124,1385984940
12763,10,124,1385984960
12764,10,124,1385984980
12765,10,124,1385985000
12766,10,124,1385985020
12767,10,124,1385985040
12768,10,124,1385985060
12769,10,124,1385985080
12770,10,124,1385985100
12771,10,124,1385985140
12772,10,124,1385985160
12773,10,124,1385985180
12774,10,124,1385985200
12775,10,124,1385985280
12776,10,124,1385985340
12777,10,124,1385985360
12778,10,124,1385985380
12779,10,124,1385985400
12780,10,124,1385985420
12781,10,124,1385985440
12782,10,124,1385985460
12783,10,124,1385985480
12784,10,124,1385985540
12785,10,124,1385985560
12786,10,124,1385985580
12787,10,124,1385985600
12788,10,124,1385985640
13880,11,92,1385982920
13881,11,92,1385982940
13882,11,153,1385982960
13883,11,87,1385982960
13884,11,153,1385982980
13885,11,87,1385983020
13886,11,87,1385983040
13887,11,87,1385983060
13888,11,87,1385983080
13889,11,87,1385983100
13890,11,87,1385983120
13891,11,247,1385983780
13892,11,247,1385983820
13893,11,247,1385983900
13894,11,247,1385983960
15130,13,211,1385982620
15131,13,226,1385982620
15132,13,211,1385982640
15133,13,211,1385982660
15134,13,211,1385982680
15135,13,211,1385982720
15136,13,211,1385982780
15137,13,211,1385982800
15138,13,211,1385982820
15139,13,211,1385982840
15140,13,211,1385982860
15141,13,211,1385982880
15142,13,198,1385982900
15143,13,211,1385982900
15144,13,211,1385982920
15145,13,198,1385982960
16531,14,261,1385982100
16532,14,261,1385982260
16533,14,105,1385982280
16534,14,105,1385982300
16535,14,105,1385982320
16536,14,261,1385982360
16537,14,105,1385982380
16538,14,261,1385982380
16539,14,105,1385982400
16540,14,43,1385982400
16541,14,105,1385982440
16542,14,105,1385982460
16543,14,105,1385982500
16544,14,105,1385982520
16545,14,105,1385982540
18507,15,258,1385982480
18508,15,20,1385982520
18509,15,20,1385982540
18510,15,20,1385982560
18511,15,145,1385982580
18512,15,20,1385982580
18513,15,199,1385982580
18514,15,39,1385982600
18515,15,203,1385982600
18516,15,199,1385982620
18517,15,39,1385982620
18518,15,203,1385982660
18519,15,199,1385982660
18520,15,199,1385982680
18521,15,203,1385982680
18522,15,199,1385982700
18523,15,199,1385985520
18524,15,199,1385985560
18525,15,315,1385985580
20691,16,162,1385982080
20692,16,162,1385982120
20693,16,162,1385982180
20694,16,162,1385982320
20695,16,162,1385982340
20696,16,120,1385982340
20697,16,120,1385982360
20698,16,46,1385982380
20699,16,76,1385982400
20700,16,46,1385982420
20701,16,76,1385982420
20702,16,76,1385982540
20703,16,179,1385982640
20704,16,179,1385982660
20705,16,194,1385982680
20706,16,76,1385982680
20707,16,179,1385982680
20708,16,194,1385982700
20709,16,76,1385982700
20710,16,194,1385982720
20711,16,76,1385982720
20712,16,194,1385982740
20713,16,76,1385982740
20714,16,194,1385982760
20715,16,76,1385982760
20716,16,194,1385982780
20717,16,76,1385982780
20718,16,194,1385982800
20719,16,76,1385982800
20720,16,194,1385982820
20721,16,76,1385982820
20722,16,162,1385982820
20723,16,120,1385982820
20724,16,194,1385982840
20725,16,76,1385982840
20726,16,194,1385982860
20727,16,76,1385982860
20728,16,120,1385982860
20729,16,194,1385982880
20730,16,76,1385982880
20731,16,30,1385982880
20732,16,194,1385982900
20733,16,76,1385982900
20734,16,30,1385982900
20735,16,194,1385982920
20736,16,222,1385982920
20737,16,76,1385982920
20738,16,194,1385982940
20739,16,222,1385982940
20740,16,194,1385982960
20741,16,222,1385982960
20742,16,194,1385982980
20743,16,222,1385982980
20744,16,222,1385983000
20745,16,222,1385983020
20746,16,222,1385983120
20747,16,222,1385983140
