v,w,t
0,19,3980
0,16,4080
0,5,4280
0,5,4360
0,5,4380
0,5,4400
0,5,4420
0,5,4440
0,22,4480
0,5,4740
0,5,5300
0,13,6320
0,21,7980
0,21,8000
0,14,8000
0,21,8080
0,23,8080
0,21,9920
0,5,10200
0,5,10320
0,22,10560
0,22,10580
0,5,10580
0,14,10620
0,22,10640
0,21,11100
0,10,13640
0,15,13660
0,10,13680
0,23,15180
0,22,15220
0,35,15220
0,22,15240
0,23,15260
0,22,15520
0,22,15560
0,18,16360
0,7,16480
0,15,16600
0,15,16620
0,10,16640
0,10,16660
0,10,16680
0,10,16700
0,26,71140
0,26,71160
0,26,71180
0,26,71200
0,26,71220
0,6,71220
0,26,71240
0,6,71240
0,19,71340
0,16,71360
0,16,71380
0,16,71400
0,4,71420
0,4,71440
0,4,71460
0,4,71480
0,5,71500
0,5,71520
0,14,71520
0,5,71540
0,5,71560
0,5,71580
0,14,71580
0,26,71760
0,26,71800
0,26,71820
0,26,71840
0,26,71860
0,26,71880
0,26,71980
0,26,72000
0,26,72020
0,6,72020
0,26,72040
0,6,72100
0,6,72300
0,16,72460
0,32,72460
0,32,72480
0,16,72500
0,32,72500
0,32,72520
0,16,72540
0,32,72540
0,28,72560
0,28,72580
0,28,72600
0,28,72620
0,14,72680
0,14,72740
0,15,72940
0,14,72960
0,14,72980
0,14,73000
0,14,73020
0,14,73040
0,14,73060
0,14,73120
0,14,73140
0,14,73160
0,14,73180
0,14,73200
0,14,73340
0,15,73400
0,14,73440
0,14,73740
0,14,73760
0,14,73800
0,14,73860
0,14,73880
0,14,73940
0,14,74040
0,14,74760
0,14,74780
0,15,74800
0,14,74800
0,14,74840
0,15,74860
0,14,74860
0,15,74880
0,14,74880
0,10,74900
0,32,74920
0,10,74920
0,10,74940
0,10,74960
0,10,74980
0,10,75000
0,15,75020
0,10,75020
0,15,75040
0,10,75040
0,10,75060
0,32,75360
0,28,75400
0,28,75420
0,28,75440
0,28,75460
0,26,75460
0,51,75520
0,28,75520
0,51,75540
0,54,75580
0,54,75600
0,54,75640
0,54,75660
0,54,75680
0,54,75700
0,16,75720
0,46,75740
0,46,75760
0,15,76120
0,39,76280
0,14,76300
0,39,76320
0,14,76320
0,26,76340
0,26,76360
0,16,76380
0,26,76380
0,16,76400
0,26,76400
0,16,76420
0,26,76420
0,16,76440
0,26,76440
0,48,76460
0,16,76460
0,26,76460
0,16,76480
0,21,76500
0,21,76520
0,10,76520
0,21,76540
0,10,76540
0,11,76540
0,28,76660
0,6,76660
0,47,76700
0,47,76720
0,26,76740
0,6,76740
0,42,76760
0,42,76780
0,42,76820
0,15,76900
0,10,76900
0,15,76920
0,32,76920
0,32,76960
0,32,76980
0,32,77000
0,32,77020
0,32,77040
0,32,77060
0,32,77080
0,32,77320
0,32,77440
0,53,77620
0,53,77640
0,53,77660
0,10,77680
0,10,77700
0,10,77720
0,10,77740
0,21,77760
0,6,77760
0,41,77780
0,41,77800
0,41,77820
0,43,77900
0,28,77920
0,28,77940
0,26,77980
0,26,78000
0,26,78020
0,26,78040
0,28,78060
0,28,78080
0,11,78100
0,11,78120
0,11,78140
0,49,78220
0,49,78240
0,49,78260
0,49,78280
0,49,78300
0,49,78320
0,49,78340
0,49,78360
0,11,78360
0,11,78380
0,11,78400
0,28,78440
0,28,78460
0,28,78480
0,28,78500
0,21,78520
0,28,78640
0,17,78640
0,28,78680
0,28,78720
0,16,78860
0,16,79280
0,10,79320
0,10,79340
0,10,79360
0,5,79400
0,32,79420
0,10,79420
0,10,79440
0,16,80040
0,16,80060
0,5,80060
0,16,80080
0,16,80100
0,4,80300
0,4,80320
0,4,80340
0,4,80360
0,4,80400
0,26,80400
0,4,80420
0,26,80420
0,26,80540
0,6,80540
0,6,80560
0,32,80800
0,32,80820
0,32,80880
0,10,80940
0,10,80960
0,46,81580
0,14,81660
0,5,81860
0,10,81880
0,16,81940
0,16,82000
0,28,82060
0,32,82100
0,32,82120
0,5,82560
0,16,82580
0,36,82660
0,36,82680
0,32,82940
0,32,82960
0,32,82980
0,26,83000
0,27,83000
0,26,83040
0,6,83040
0,16,83080
0,16,83100
0,5,83180
0,50,83300
0,50,83320
0,32,83340
0,28,83340
0,36,83380
0,21,83400
0,4,83400
0,10,83460
0,10,83480
0,16,83500
0,10,83520
0,6,83860
0,5,83940
0,21,84640
0,36,84800
0,21,84920
0,10,87800
0,17,87800
0,10,87820
0,10,87840
0,10,87860
0,10,87880
0,10,87900
0,10,87920
0,10,87940
0,10,87960
0,10,87980
0,32,88020
0,16,88240
0,16,88300
0,16,88320
0,16,88340
0,16,88360
0,32,88360
0,32,88540
0,32,88600
0,32,88620
0,32,88640
0,16,88700
0,32,88700
0,16,88720
0,16,88740
0,16,88760
0,16,88780
0,16,88800
0,16,88820
0,16,88840
0,16,88860
0,16,88880
0,16,88900
0,36,88900
0,16,88920
0,16,88940
0,16,88960
0,16,88980
0,5,88980
0,16,89000
0,16,89020
0,16,89040
0,16,89060
0,16,89080
0,16,89100
0,5,89140
0,16,89180
0,16,89200
0,16,89240
0,21,89260
0,12,89360
0,26,89360
0,12,89380
0,4,89380
0,28,89380
0,26,89380
0,6,89380
0,12,89400
0,26,89400
0,6,89400
0,4,89420
0,6,89420
0,5,89940
0,12,89960
0,5,89960
0,6,89960
0,16,90180
0,32,90180
0,26,90180
0,16,90200
0,32,90200
0,28,90200
0,26,90200
0,32,90220
0,28,90220
0,26,90220
0,26,90280
0,28,90380
0,26,90380
0,25,90400
0,28,90400
0,26,90400
0,12,90420
0,16,90420
0,28,90420
0,26,90420
0,12,90440
0,12,90460
0,36,90460
0,16,90520
0,16,90540
0,16,90560
0,16,90780
0,16,90800
0,16,90820
0,16,90880
0,26,90900
0,16,90920
0,16,90940
0,16,90960
0,25,90980
0,16,91000
0,12,91020
0,16,91020
0,16,91040
0,12,91060
0,16,91060
0,12,91080
0,16,91080
0,12,91100
0,16,91100
0,26,91100
0,12,91120
0,16,91120
0,26,91120
0,12,91140
0,16,91140
0,12,91160
0,16,91160
0,12,91180
0,16,91180
0,16,91220
0,16,91300
0,26,91300
0,16,91320
0,16,91340
0,32,91340
0,15,91460
0,15,91500
0,15,91520
0,2,91540
0,32,91560
0,2,91560
0,32,91580
0,10,96940
0,17,96940
0,10,96960
0,17,96960
0,10,96980
0,17,96980
0,10,97000
0,17,97000
0,10,97020
0,17,97020
0,10,97040
0,17,97040
0,10,97060
0,17,97080
0,10,97100
0,17,97100
0,10,97120
0,17,97120
0,10,97140
0,17,97140
0,29,97260
0,32,97280
0,12,97300
0,32,97300
0,12,97320
0,32,97320
0,32,97380
0,32,97460
0,28,97460
0,32,97980
0,32,98000
0,54,98060
0,54,98080
0,23,98160
0,34,98200
0,11,98200
0,18,98340
0,18,98980
0,28,99060
0,28,99100
0,28,99300
0,28,99320
0,28,99380
0,28,99400
0,28,99420
0,28,99440
0,28,99460
0,28,99520
0,28,99640
0,2,99840
0,25,100000
0,10,100000
0,25,100020
0,24,100040
0,23,100040
0,10,100080
0,24,100100
0,32,100120
0,27,100200
0,25,100340
0,29,100520
0,21,100520
0,21,100540
0,15,100700
0,21,100880
0,15,100880
0,10,101340
0,10,101380
0,23,101420
0,10,101540
0,21,101560
0,11,102740
0,11,102820
0,12,103060
0,23,103060
0,11,103100
0,21,103240
0,21,103420
0,15,103880
0,11,104260
0,19,156420
0,19,156440
0,19,156460
0,68,156480
0,6,156480
0,26,156500
0,26,156520
0,26,156540
0,26,156560
