source,target,duration,day,hour
0,10,20,1,13
0,9,20,1,9
0,10,20,2,18
0,10,40,2,18
0,10,20,2,15
0,10,20,2,18
0,10,20,2,9
0,10,20,2,19
0,10,20,2,15
0,10,20,2,19
0,9,60,2,18
0,9,20,2,14
0,9,20,2,11
0,9,20,2,13
0,9,20,2,14
0,6,20,2,18
0,2,20,2,18
0,2,20,2,18
0,10,40,3,19
0,10,20,3,19
0,10,20,3,12
0,10,20,3,12
0,10,20,3,12
0,9,20,3,19
0,3,20,1,14
0,3,20,1,15
0,3,60,1,15
0,3,20,1,14
0,5,20,1,7
0,5,500,1,7
0,5,20,1,7
0,5,40,1,7
0,5,20,1,10
0,5,180,1,7
0,5,20,1,7
0,5,60,1,7
0,5,40,1,10
0,5,60,1,7
0,5,20,1,17
0,5,100,1,10
0,5,20,1,10
0,5,40,1,10
0,5,20,1,10
0,5,60,1,10
0,5,40,1,10
0,5,20,1,20
0,5,20,1,19
0,5,20,1,10
0,5,40,1,10
0,5,20,1,14
0,5,20,1,20
0,5,20,1,11
0,5,40,1,20
0,5,20,1,9
0,5,20,1,20
0,5,20,1,20
0,5,20,1,20
0,5,20,1,20
0,5,40,1,19
0,5,20,1,14
0,5,20,1,19
0,5,20,1,10
0,5,20,1,19
0,6,20,1,19
0,6,20,1,19
0,6,20,1,19
0,6,40,1,14
0,6,120,1,14
0,6,20,1,9
0,6,80,1,14
0,6,220,1,14
0,6,20,1,19
0,6,20,1,19
0,6,20,1,20
0,6,20,1,14
0,6,20,1,19
0,6,20,1,19
0,6,20,1,19
0,6,20,1,19
0,6,20,1,19
0,6,40,1,19
0,6,20,1,19
0,6,20,1,19
0,6,20,1,19
0,6,20,1,19
0,6,20,1,19
0,6,20,1,19
0,6,20,1,14
0,6,20,1,19
0,6,20,1,20
0,6,20,1,19
0,6,60,1,8
0,6,20,1,18
0,6,20,1,18
0,6,20,1,18
0,6,20,1,9
0,6,20,1,19
0,6,20,1,19
0,6,20,1,19
0,6,20,1,19
0,2,20,1,18
0,2,60,1,7
0,2,20,1,10
0,2,20,1,10
0,2,20,1,19
0,2,160,1,19
0,2,40,1,19
0,2,40,1,19
0,2,20,1,19
0,2,20,1,19
0,2,20,1,19
0,2,60,1,16
0,2,40,1,16
0,2,40,1,16
0,2,20,1,16
0,2,20,1,16
0,2,40,1,17
0,2,20,1,17
0,2,60,1,17
0,2,60,1,17
0,2,40,1,11
0,2,20,1,17
0,2,20,1,17
0,2,60,1,20
0,2,20,1,20
0,2,40,1,20
0,2,40,1,20
0,2,40,1,11
0,2,20,1,14
0,2,120,1,20
0,2,320,1,20
0,2,20,1,20
0,2,20,1,8
0,2,20,1,8
0,2,20,1,20
0,2,20,1,9
0,2,20,1,11
0,2,20,1,14
0,2,60,1,17
0,7,20,1,14
0,7,40,1,7
0,7,20,1,14
0,6,40,2,12
0,6,20,2,20
0,6,20,2,20
0,6,20,2,12
0,6,20,2,20
0,6,20,2,20
0,6,40,2,20
