v,w,t
0,10,13
0,9,9
0,10,42
0,10,42
0,10,39
0,10,42
0,10,33
0,10,43
0,10,39
0,10,43
0,9,42
0,9,38
0,9,35
0,9,37
0,9,38
0,6,42
0,2,42
0,2,42
0,10,67
0,10,67
0,10,60
0,10,60
0,10,60
0,9,67
0,3,14
0,3,15
0,3,15
0,3,14
0,5,7
0,5,7
0,5,7
0,5,7
0,5,10
0,5,7
0,5,7
0,5,7
0,5,10
0,5,7
0,5,17
0,5,10
0,5,10
0,5,10
0,5,10
0,5,10
0,5,10
0,5,20
0,5,19
0,5,10
0,5,10
0,5,14
0,5,20
0,5,11
0,5,20
0,5,9
0,5,20
0,5,20
0,5,20
0,5,20
0,5,19
0,5,14
0,5,19
0,5,10
0,5,19
0,6,19
0,6,19
0,6,19
0,6,14
0,6,14
0,6,9
0,6,14
0,6,14
0,6,19
0,6,19
0,6,20
0,6,14
0,6,19
0,6,19
0,6,19
0,6,19
0,6,19
0,6,19
0,6,19
0,6,19
0,6,19
0,6,19
0,6,19
0,6,19
0,6,14
0,6,19
0,6,20
0,6,19
0,6,8
0,6,18
0,6,18
0,6,18
0,6,9
0,6,19
0,6,19
0,6,19
0,6,19
0,2,18
0,2,7
0,2,10
0,2,10
0,2,19
0,2,19
0,2,19
0,2,19
0,2,19
0,2,19
0,2,19
0,2,16
0,2,16
0,2,16
0,2,16
0,2,16
0,2,17
0,2,17
0,2,17
0,2,17
0,2,11
0,2,17
0,2,17
0,2,20
0,2,20
0,2,20
0,2,20
0,2,11
0,2,14
0,2,20
0,2,20
0,2,20
0,2,8
0,2,8
0,2,20
0,2,9
0,2,11
0,2,14
0,2,17
0,7,14
0,7,7
0,7,14
0,6,36
0,6,44
0,6,44
0,6,36
0,6,44
0,6,44
0,6,44
0,6,44
0,6,42
0,6,44
0,6,36
0,6,44
0,6,44
0,6,44
0,6,42
0,6,42
0,6,37
0,6,37
0,6,44
0,6,37
0,6,44
0,6,44
0,6,44
0,6,44
0,6,44
0,7,31
0,7,31
0,7,31
0,7,31
0,7,31
0,7,31
0,7,31
0,7,31
0,7,31
0,7,31
0,7,31
0,7,31
0,7,31
0,7,31
0,7,31
0,7,31
0,7,31
0,7,31
0,7,36
0,7,31
0,7,31
0,7,31
0,7,36
0,7,31
0,7,31
0,7,31
0,3,42
0,3,38
0,3,38
0,3,38
0,3,38
0,3,38
0,3,39
0,3,32
0,3,39
0,3,37
0,2,44
0,2,36
0,2,44
0,2,42
0,2,44
0,2,42
0,2,44
0,2,36
0,2,44
0,2,44
0,2,44
0,2,44
0,2,44
0,2,44
0,2,42
0,2,44
0,5,31
0,5,31
0,5,31
0,5,31
0,5,31
0,5,31
0,5,31
0,5,31
0,5,31
0,5,31
0,5,31
0,5,31
0,5,31
0,5,31
0,5,31
0,5,31
0,5,34
0,5,31
0,5,31
0,5,34
0,5,31
0,5,34
0,5,34
0,5,34
0,5,34
0,5,37
0,5,37
0,5,37
0,5,34
0,5,34
0,5,40
0,5,40
0,5,32
0,5,36
0,5,43
0,5,32
0,5,41
0,5,43
0,5,44
0,5,44
0,5,44
0,5,44
0,5,44
0,5,41
0,5,44
0,5,41
0,5,41
0,5,44
0,5,44
0,5,36
0,5,36
0,5,36
0,5,63
0,5,55
0,5,55
0,5,57
0,5,55
0,5,55
0,5,55
0,5,55
0,5,55
0,5,55
0,5,55
0,5,55
0,5,55
0,5,63
0,5,55
0,5,55
0,5,55
0,5,63
0,5,55
0,5,55
0,5,55
0,5,55
0,5,55
0,5,55
0,5,55
0,5,55
0,5,55
0,5,55
0,5,66
0,5,68
0,5,58
0,5,58
0,5,58
0,5,64
0,5,58
0,5,58
0,5,58
0,5,59
0,5,58
0,5,59
0,5,58
0,5,59
0,5,64
0,5,65
0,5,64
0,5,58
0,5,58
0,5,66
0,5,65
0,5,62
0,5,63
0,5,65
0,5,63
0,5,63
0,5,68
0,5,68
0,5,68
0,5,62
0,5,58
0,5,68
0,5,68
0,5,65
0,5,62
0,5,60
0,5,68
0,5,65
0,5,58
0,5,66
0,5,60
0,5,60
0,6,68
0,6,68
0,6,68
0,6,62
0,6,68
0,6,68
0,6,63
0,6,63
0,6,67
0,6,68
0,6,68
0,6,62
0,6,68
0,6,63
0,6,68
0,6,68
0,6,61
0,6,65
0,6,64
0,6,67
0,6,64
0,6,64
0,6,67
0,2,59
0,2,62
0,2,58
0,2,62
0,2,58
0,2,60
0,2,68
0,2,62
0,2,58
0,2,61
0,2,61
0,2,58
0,2,62
0,2,67
0,2,59
0,2,59
0,2,59
0,2,62
0,2,59
0,2,59
0,2,62
0,2,59
0,2,59
0,2,59
0,2,59
0,2,60
0,2,60
0,2,60
0,2,60
0,2,60
0,2,60
0,2,68
0,2,68
0,2,68
0,2,68
0,2,68
0,2,68
0,2,68
0,2,68
0,2,68
0,2,68
0,2,62
0,2,62
0,7,55
0,7,55
0,7,55
0,7,55
0,7,60
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,55
0,7,61
0,7,61
0,7,61
0,7,61
0,7,64
0,7,65
0,7,62
0,7,65
0,7,65
0,7,61
0,7,62
0,7,62
0,7,61
0,7,60
0,1,36
0,14,36
0,9,36
0,9,36
0,19,36
0,19,36
0,19,36
0,19,36
0,19,36
0,16,36
0,16,36
0,16,36
0,16,36
0,16,36
0,12,36
0,12,36
0,5,36
0,21,36
1,3,12
1,3,12
1,3,9
1,3,12
1,3,9
1,3,9
1,3,12
1,3,12
1,3,12
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,13
1,3,7
1,3,7
1,3,13
1,3,13
1,3,7
1,3,15
1,3,7
1,3,20
1,3,15
1,3,7
1,3,9
1,3,7
1,3,16
1,3,13
1,3,7
1,3,13
1,3,13
1,3,13
1,3,14
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,10
1,3,14
1,3,10
1,3,13
1,3,14
1,3,13
1,3,10
1,3,13
1,3,10
1,3,13
1,3,11
1,3,11
1,3,16
1,3,16
1,3,19
1,3,10
1,3,16
1,3,16
1,3,16
1,3,14
1,3,14
1,3,14
1,3,14
1,3,14
1,3,10
1,3,14
1,3,17
1,3,14
1,3,11
1,3,16
1,3,14
1,3,20
1,3,20
1,3,20
1,3,20
1,3,20
1,3,14
1,3,20
1,3,20
1,3,20
1,3,20
1,3,20
1,3,13
1,3,20
1,3,8
1,3,8
1,3,20
1,3,13
1,3,7
1,3,7
1,3,13
1,3,9
1,3,12
1,3,13
1,3,18
1,3,13
1,3,12
1,3,12
1,15,13
1,15,7
1,15,14
1,15,13
1,24,9
1,24,14
1,24,13
1,24,20
1,24,20
1,24,11
1,24,11
1,24,20
1,24,7
1,24,7
1,24,20
1,24,16
1,24,20
1,24,7
1,24,20
1,24,19
1,24,13
1,24,20
1,24,13
1,24,15
1,24,20
1,24,20
1,24,7
1,24,20
1,24,13
1,24,20
1,24,13
1,24,20
1,24,14
1,24,20
1,24,7
1,24,20
1,24,7
1,24,7
1,24,20
1,24,9
1,24,20
1,24,7
1,24,11
1,24,20
1,24,13
1,24,20
1,24,7
1,24,11
1,24,9
1,24,16
1,24,16
1,24,9
1,24,13
1,20,10
1,20,12
1,20,13
1,20,19
1,20,12
1,20,7
1,20,9
1,20,12
1,20,9
1,20,12
1,8,12
1,8,19
1,8,12
1,8,7
1,8,7
1,8,7
1,8,7
1,8,7
1,8,19
1,8,7
1,8,7
1,8,7
1,8,7
1,8,7
1,8,19
1,8,12
1,8,19
1,8,19
1,8,12
1,8,7
1,12,11
1,12,14
1,12,14
1,12,14
1,12,8
1,12,10
1,12,14
1,12,14
1,12,11
1,12,14
1,12,11
1,12,11
1,12,11
1,10,14
1,10,13
1,10,11
1,10,14
1,10,7
1,10,7
1,10,11
1,10,7
1,10,13
1,10,13
1,10,14
1,10,10
1,10,20
1,10,19
1,10,16
1,10,20
1,10,7
1,10,7
1,10,14
1,10,7
1,10,7
1,10,7
1,10,7
1,10,17
1,10,9
1,10,7
1,10,20
1,10,13
1,10,20
1,10,13
1,10,7
1,10,17
1,10,8
1,10,20
1,10,8
1,10,7
1,10,13
1,10,7
1,10,8
1,10,7
1,10,20
1,10,8
1,10,20
1,10,13
1,10,7
1,10,20
1,10,13
1,10,13
1,10,12
1,10,10
1,10,7
1,10,13
1,10,13
1,10,11
1,10,10
1,10,13
1,10,20
1,10,20
1,10,13
1,10,8
1,10,7
1,10,20
1,10,19
1,10,13
1,10,20
1,10,10
1,10,7
1,10,14
1,10,14
1,10,13
1,10,8
1,10,7
1,5,7
1,5,7
1,5,16
1,5,7
1,19,18
1,19,14
1,19,11
1,22,9
1,22,18
1,22,19
1,22,15
1,22,9
1,22,9
1,22,15
1,22,15
1,22,14
